WORD;WEIGHT;FIELD;CONNOTATION
conseil;2;information / communication;context
considered;2;information / communication;context
counsel;2;information / communication;context
cries;2;information / communication;context
curieusen;2;information / communication;context
declarations;2;information / communication;context
degree;2;information / communication;context
description;2;information / communication;context
determined;2;information / communication;context
discourses;2;information / communication;context
discoverd;2;information / communication;context
distributor;2;information / communication;context
drama;2;information / communication;context
encloses;2;information / communication;context
encouragement;2;information / communication;context
entituled;2;information / communication;context
example;2;information / communication;context
expressed;2;information / communication;context
false;2;information / communication;context
foment;2;information / communication;context
fragen;2;information / communication;context
glückwunsch;2;information / communication;context
gravé;2;information / communication;context
grievances;2;information / communication;context
instruction;2;information / communication;context
introduction;2;information / communication;context
konzept;2;information / communication;context
matters;2;information / communication;context
measures;2;information / communication;context
message;2;information / communication;context
museum;2;information / communication;context
musical;2;information / communication;context
nachricht;2;information / communication;context
nominated;2;information / communication;context
notes;2;information / communication;context
opera;2;information / communication;context
oraison;2;information / communication;context
paintings;2;information / communication;context
passages;2;information / communication;context
petitions;2;information / communication;context
picture;2;information / communication;context
pointing;2;information / communication;context
voted;2;information / communication;context
copia;2;information / communication;context
copie;2;information / communication;context
libri / librorum;2;information / communication;context
map;2;information / communication;context
memoirs;2;information / communication;context
memorials;2;information / communication;context
bildnis;2;information / communication;context
catalogue;2;information / communication;context
kopie;2;information / communication;context
language;2;information / communication;context
cited;2;information / communication;context
issued;2;information / communication;context
known;2;information / communication;context
kriegsgeschichte;2;information / communication;context
begreiffend;2;information / communication;context
bible;2;information / communication;context
unmask[e]d;2;information / communication;positive
conversing / conversation;2;information / communication;context
copey;2;information / communication;context
curious / curieuser / curiöse;2;information / communication;context
declar[ing] / déclaration;2;information / communication;context
discover[ed] / discovery;2;information / communication;context
écrite[s];2;information / communication;context
explain[ed];2;information / communication;context
extracted / extracts;2;information / communication;context
instructions / instruktion;2;information / communication;context
rendezvous;1;information / communication;context
menace;1;information / communication;context
profess;1;information / communication;context
versehen;1;information / communication;context
vindiciae;1;information / communication;context
queries;1;information / communication;context
question;1;information / communication;context
rally;1;information / communication;context
ratified;1;information / communication;context
ratifyd;1;information / communication;context
reading;1;information / communication;context
reasoning;1;information / communication;context
rechtfertigung;1;information / communication;context
recruitment;1;information / communication;context
reference;1;information / communication;context
reflecting;1;information / communication;context
refusing;1;information / communication;context
refuted;1;information / communication;context
remind;1;information / communication;context
repentance;1;information / communication;context
réponse;1;information / communication;context
reprinted;1;information / communication;context
research;1;information / communication;context
respose;1;information / communication;context
satirical;1;information / communication;context
satirizing;1;information / communication;context
sayings;1;information / communication;context
schemes;1;information / communication;context
schlusses;1;information / communication;context
sculpture;1;information / communication;context
seale;1;information / communication;context
signal;1;information / communication;context
spellings;1;information / communication;context
squeak;1;information / communication;context
staatsanmerckungen;1;information / communication;context
staatsgespräch;1;information / communication;context
staatsgriffe(n);1;information / communication;context
staatshistorie;1;information / communication;context
stanzas;1;information / communication;context
statement;1;information / communication;context
sujets;1;information / communication;context
summon;1;information / communication;context
surveys;1;information / communication;context
swear;1;information / communication;context
traced;1;information / communication;context
unterrichtet;1;information / communication;context
inauguration;1;information / communication;context
incidents;1;information / communication;context
judgement;1;information / communication;context
tryall;1;information / communication;context
übergesetzet;1;information / communication;context
überschicket;1;information / communication;context
understanding;1;information / communication;context
unknown;1;information / communication;context
unnamed;1;information / communication;context
unpublished;1;information / communication;context
manifested;1;information / communication;context
inclosing;1;information / communication;context
concerning;1;information / communication;context
imitation;1;information / communication;context
submitted;1;information / communication;context
subscription;1;information / communication;context
exchange;1;information / communication;context
snorts;1;information / communication;context
flatteries;1;information / communication;context
forgery;1;information / communication;context
erudition;1;information / communication;context
subjoined / subjoyned;1;information / communication;context
purported / purporting;1;information / communication;context
regards;1;information / communication;context
sittings;1;information / communication;context
testimony;1;information / communication;context
texts;1;information / communication;context
theatreroyal;1;information / communication;context
essays;1;information / communication;context
imprimée;1;information / communication;context
writing;1;information / communication;context
würklichern;1;information / communication;context
zensur;1;information / communication;context
inscrib[e]d;1;information / communication;context
intention;1;information / communication;context
disquisition;1;information / communication;context
posture;1;information / communication;context
praying;1;information / communication;context
propagated;1;information / communication;context
prophesie;1;information / communication;context
publicirte;1;information / communication;context
publickly;1;information / communication;context
purpose;1;information / communication;context
friedensinstrumente;1;information / communication;context
friedenstractaten;1;information / communication;context
friedensvorschlägen;1;information / communication;context
postal;1;information / communication;context
postscipt;1;information / communication;context
presumption;1;information / communication;context
evidence;1;information / communication;context
exemplified;1;information / communication;context
traduit;1;information / communication;context
transmitted;1;information / communication;context
transmitting;1;information / communication;context
errors;1;information / communication;context
exhibited;1;information / communication;context
familiar;1;information / communication;context
files;1;information / communication;context
flag;1;information / communication;context
formula;1;information / communication;context
fortgesetzet;1;information / communication;context
gnugthuung;1;information / communication;context
considerations;1;information / communication;context
contain(e)d;1;information / communication;context
enlisting;1;information / communication;context
erwiesen;1;information / communication;context
abridgement;1;information / communication;context
agreement;1;information / communication;context
aktenstücke;1;information / communication;context
alleged;1;information / communication;context
amendment;1;information / communication;context
amusement;1;information / communication;context
analogy;1;information / communication;context
anecdotes;1;information / communication;context
angefügte;1;information / communication;context
angehangter;1;information / communication;context
anhang;1;information / communication;context
animadversions;1;information / communication;context
animosities;1;information / communication;context
annexed;1;information / communication;context
anordnung;1;information / communication;context
apology;1;information / communication;context
apparent;1;information / communication;context
appended;1;information / communication;context
apply;1;information / communication;context
argued;1;information / communication;context
arguments;1;information / communication;context
ascertaining;1;information / communication;context
asking;1;information / communication;context
aspersions;1;information / communication;context
assurances;1;information / communication;context
auction;1;information / communication;context
avowed;1;information / communication;context
bestimmungen;1;information / communication;context
beweggründe;1;information / communication;context
beweis;1;information / communication;context
beygefügten;1;information / communication;context
beylagen;1;information / communication;context
brieffes;1;information / communication;context
capiat;1;information / communication;context
commentariorum;1;information / communication;context
compendious;1;information / communication;context
congratulating;1;information / communication;context
congratulatory;1;information / communication;context
connu;1;information / communication;context
consented;1;information / communication;context
consider[e]d;1;information / communication;context
conspirationen;1;information / communication;context
consulte;1;information / communication;context
cooperate;1;information / communication;context
counseiller;1;information / communication;context
curiosity;1;information / communication;context
deception;1;information / communication;context
decision;1;information / communication;context
demonstrate(s);1;information / communication;context
denoting;1;information / communication;context
depicted;1;information / communication;context
depreciation;1;information / communication;context
describing;1;information / communication;context
designs;1;information / communication;context
desired;1;information / communication;context
dialogues;1;information / communication;context
dictates;1;information / communication;context
dictionary;1;information / communication;context
discuss;1;information / communication;context
disguise;1;information / communication;context
disingenuity;1;information / communication;context
displays;1;information / communication;context
dispositions;1;information / communication;context
disputes;1;information / communication;context
diverting;1;information / communication;context
documents;1;information / communication;context
doubts;1;information / communication;context
